Scenario_ID,Scenario_Name,Variable_Adjusted,Adjustment_Detail,Projected_Emissions,Time_Period,Confidence_Level
S-001,Scenario 1,Routing,Closer Suppliers,5696.95,Q1 2024,80.43
S-002,Scenario 2,Supplier Location,Decrease by 15%,5734.71,Q1 2024,87.41
S-003,Scenario 3,Equipment Efficiency,Closer Suppliers,5432.3,Q1 2024,78.48
S-004,Scenario 4,Shipment Volume,AI Optimization,5304.0,Q2 2023,65.37
S-005,Scenario 5,Shipment Volume,Closer Suppliers,5776.28,Q1 2023,62.23
S-006,Scenario 6,Equipment Efficiency,Decrease by 15%,5687.63,Q1 2024,85.49
S-007,Scenario 7,Shipment Volume,Switch to Biofuel,4753.85,Q3 2023,77.05
S-008,Scenario 8,Supplier Location,Increase by 10%,5839.7,Q1 2024,66.41
S-009,Scenario 9,Equipment Efficiency,Switch to Biofuel,5686.34,Q1 2023,87.72
S-010,Scenario 10,Supplier Location,Switch to Biofuel,4057.63,Q2 2023,67.18
S-011,Scenario 11,Shipment Volume,Decrease by 15%,5301.08,Q4 2023,84.11
S-012,Scenario 12,Routing,Closer Suppliers,5316.86,Q2 2023,66.14
S-013,Scenario 13,Shipment Volume,Decrease by 15%,4102.29,Q2 2023,79.31
S-014,Scenario 14,Equipment Efficiency,Closer Suppliers,5536.18,Q4 2023,60.5
S-015,Scenario 15,Fuel Type,Increase by 10%,5662.43,Q1 2024,84.0
S-016,Scenario 16,Fuel Type,Decrease by 15%,4550.63,Q3 2023,73.45
S-017,Scenario 17,Equipment Efficiency,Switch to Biofuel,5764.98,Q1 2024,78.76
S-018,Scenario 18,Shipment Volume,Increase by 10%,4121.17,Q4 2023,84.04
S-019,Scenario 19,Routing,Switch to Biofuel,4658.31,Q2 2023,87.21
S-020,Scenario 20,Supplier Location,Increase by 10%,5256.66,Q2 2023,67.91
S-021,Scenario 21,Fuel Type,Decrease by 15%,4441.39,Q4 2023,88.04
S-022,Scenario 22,Routing,Switch to Biofuel,5306.74,Q2 2023,86.23
S-023,Scenario 23,Supplier Location,Increase by 10%,5461.39,Q3 2023,62.1
S-024,Scenario 24,Routing,AI Optimization,5852.52,Q4 2023,82.98
S-025,Scenario 25,Fuel Type,Closer Suppliers,4050.21,Q2 2023,70.47
S-026,Scenario 26,Supplier Location,Closer Suppliers,4022.65,Q1 2023,60.75
S-027,Scenario 27,Fuel Type,Decrease by 15%,5452.13,Q2 2023,60.37
S-028,Scenario 28,Supplier Location,Closer Suppliers,5132.54,Q2 2023,76.34
S-029,Scenario 29,Shipment Volume,AI Optimization,4340.34,Q2 2023,86.76
S-030,Scenario 30,Shipment Volume,Switch to Biofuel,4089.59,Q3 2023,69.14
S-031,Scenario 31,Supplier Location,Decrease by 15%,5196.93,Q2 2023,82.15
S-032,Scenario 32,Equipment Efficiency,Increase by 10%,5260.42,Q1 2024,83.33
S-033,Scenario 33,Fuel Type,Switch to Biofuel,4366.7,Q4 2023,85.49
S-034,Scenario 34,Fuel Type,AI Optimization,5962.2,Q3 2023,61.81
S-035,Scenario 35,Supplier Location,Decrease by 15%,4491.85,Q3 2023,81.42
S-036,Scenario 36,Fuel Type,Closer Suppliers,5946.14,Q1 2023,78.17
S-037,Scenario 37,Supplier Location,Closer Suppliers,4564.08,Q4 2023,67.06
S-038,Scenario 38,Equipment Efficiency,Switch to Biofuel,4333.81,Q4 2023,76.63
S-039,Scenario 39,Supplier Location,Increase by 10%,4838.66,Q4 2023,60.13
S-040,Scenario 40,Routing,Decrease by 15%,5356.03,Q4 2023,72.78
S-041,Scenario 41,Routing,Switch to Biofuel,4542.11,Q3 2023,64.32
S-042,Scenario 42,Equipment Efficiency,AI Optimization,5227.81,Q2 2023,79.4
S-043,Scenario 43,Shipment Volume,Switch to Biofuel,4107.35,Q1 2023,69.66
S-044,Scenario 44,Routing,Decrease by 15%,5317.26,Q3 2023,75.51
S-045,Scenario 45,Fuel Type,Switch to Biofuel,4520.16,Q2 2023,76.33
S-046,Scenario 46,Shipment Volume,Closer Suppliers,5867.86,Q4 2023,69.11
S-047,Scenario 47,Shipment Volume,Closer Suppliers,4994.85,Q4 2023,61.39
S-048,Scenario 48,Equipment Efficiency,Closer Suppliers,4377.88,Q1 2024,84.77
S-049,Scenario 49,Fuel Type,Switch to Biofuel,5383.83,Q1 2024,61.64
S-050,Scenario 50,Routing,Closer Suppliers,5866.59,Q3 2023,66.26
S-051,Scenario 51,Equipment Efficiency,AI Optimization,5200.91,Q3 2023,60.3
S-052,Scenario 52,Equipment Efficiency,Switch to Biofuel,5116.2,Q1 2024,88.91
S-053,Scenario 53,Equipment Efficiency,Increase by 10%,4376.8,Q1 2024,63.71
S-054,Scenario 54,Equipment Efficiency,AI Optimization,5458.31,Q3 2023,80.26
S-055,Scenario 55,Supplier Location,Decrease by 15%,5684.9,Q1 2023,84.43
S-056,Scenario 56,Shipment Volume,Increase by 10%,5340.81,Q1 2024,89.61
S-057,Scenario 57,Equipment Efficiency,Increase by 10%,4734.54,Q3 2023,79.13
S-058,Scenario 58,Shipment Volume,Increase by 10%,4394.67,Q1 2023,61.4
S-059,Scenario 59,Routing,Increase by 10%,5906.96,Q3 2023,80.64
S-060,Scenario 60,Routing,Increase by 10%,4942.9,Q1 2023,84.15
S-061,Scenario 61,Routing,AI Optimization,5384.32,Q1 2024,63.64
S-062,Scenario 62,Equipment Efficiency,Decrease by 15%,5153.05,Q3 2023,73.47
S-063,Scenario 63,Supplier Location,Switch to Biofuel,5620.67,Q3 2023,88.71
S-064,Scenario 64,Equipment Efficiency,AI Optimization,5095.91,Q2 2023,80.27
S-065,Scenario 65,Equipment Efficiency,Closer Suppliers,5217.61,Q3 2023,74.51
S-066,Scenario 66,Supplier Location,Closer Suppliers,4613.64,Q1 2023,83.47
